Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.742297
Longitude: -53.372218
Altitude: 7.41
Situacao: Operante
Data Inicial: 2017-01-01
Data Final: 2017-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-02-11;0;1010.045833;21.758333;26.6;23.25;22.2;91.458333;null;17.2;4;
2017-02-12;10.4;1007.829167;21.85;26.2;23.2375;21.2;91.958333;null;15.5;8.170833;
2017-02-13;2.4;1005.541667;22.316667;25.8;23.504167;22.1;93.208333;null;12.7;5.225;
2017-02-14;1.6;1007.975;22.133333;31.2;25.2;21;84.166667;null;12.6;3.366667;
2017-02-15;0;1011.658333;21.079167;30.5;25.295833;21.1;78.583333;null;10.7;3.25;
2017-02-16;0;1011.416667;21.979167;30.3;25.441667;21.3;81.958333;null;9.9;3.045833;
2017-02-17;.4;1007.7375;21.258333;29.9;25.0875;22.1;80.041667;null;14.6;3.916667;
2017-02-18;0;1008.8875;22.1125;25.7;23.55;20.6;91.75;null;7.1;1.979167;
2017-02-19;24.4;1014.0875;21.758333;28.4;23.441667;19.8;90.708333;null;6.6;2.6625;
2017-02-20;.2;1015.658333;23.170833;30.6;24.9875;20.1;90.166667;null;7.5;3.058333;
2017-02-21;0;1014.4625;22.404167;28.6;25.129167;22.8;85.291667;null;11.9;3.075;
2017-02-22;0;1010.1375;23.083333;28.9;25.016667;22.6;89.208333;null;10;2.554167;
2017-02-23;0;1009.375;22.5375;27.8;24.629167;21.6;88.416667;null;6.3;2.891667;
2017-02-24;0;1010.55;22.2;29.6;24.675;19.9;86.666667;null;5.9;2.445833;
2017-02-25;0;1011.195833;21.995833;29.5;25.166667;20.6;83.25;null;6.1;2.916667;
2017-02-26;0;1012.795833;22.3;30.7;25.3875;21.4;83.541667;null;9.6;3.620833;
2017-02-27;0;1011.1625;21.966667;30.2;24.929167;20.8;84.333333;null;9.2;3.375;
2017-02-28;0;1005.195833;21.720833;31.9;25.266667;21.3;82.25;null;7.9;2.95;
2017-03-01;1;1001.504167;21.941667;33.4;25.1625;21.4;83.666667;null;19.8;2.870833;
2017-03-02;5;1006.116667;22.504167;29.5;25.720833;21.1;82.875;null;9.1;4.420833;
2017-03-03;0;1008.529167;23.075;27.9;25.55;24.9;86.333333;null;16.1;6.3625;
2017-03-04;8.8;1009.779167;18.858333;25;22.8375;19.4;78.458333;null;15.4;9.9125;
2017-03-05;.8;1011.533333;15.825;24.7;22.941667;19.9;64.291667;null;14.6;7.195833;
2017-03-06;0;1013.9625;16.15;28.1;22.020833;15;70.291667;null;7.6;3.145833;
2017-03-07;0;1015.879167;17.516667;24.8;21.154167;16.6;80.416667;null;9.2;4.316667;
2017-03-08;0;1013.3;20.283333;27;24;21.3;79.708333;null;15.2;6.445833;
2017-03-09;2.4;1002.0875;21.091667;24.9;23.0125;23.9;89.083333;null;17.2;5.116667;
2017-03-10;28.4;1009.170833;14.5;26.6;21.320833;18.2;70.375;null;13.5;4.525;
2017-03-11;0;1013.554167;12.854167;26;19.495833;11.3;66.416667;null;11.5;4.054167;
2017-03-12;0;1009.5375;13.6625;24.6;20.65;17.4;67.041667;null;16.5;5.695833;
2017-03-13;0;1013.05;11.0125;24.3;17.5375;11.6;68.166667;null;11;4.195833;
2017-03-14;0;1013.9625;14.404167;24.9;19.033333;13;75.291667;null;8.4;3.845833;
2017-03-15;0;1011.554167;19.091667;26.6;21.620833;15.5;85.916667;null;12.1;4.379167;
2017-03-16;1.6;1009.2125;17.720833;23.3;20.1;19.6;86.583333;null;19;7.4875;
2017-03-17;2.6;1018.808333;11.495833;20.3;16.1;10.6;74.625;null;17.1;7.095833;
2017-03-18;0;1021.479167;13.0875;21.7;17.516667;10.7;75.666667;null;12.1;5.4375;
2017-03-19;0;1021.9875;14.9375;24.3;20.245833;14.7;72.291667;null;8.4;3.9875;
2017-03-20;0;1022.816667;17.2125;25;21.25;19.4;77.833333;null;12.3;6.908333;
2017-03-21;0;1022.945833;18.433333;25.5;21.833333;20.1;81.25;null;11.5;6.270833;
2017-03-22;.6;1020.7625;20.308333;26.3;22.554167;20.7;87.333333;null;11.7;5.725;
2017-03-23;0;1017;20.525;24.8;21.8875;20.4;91.916667;null;9.7;3.8625;
2017-03-24;3.6;1014.179167;20.545833;26.3;22.4125;19.8;89.5;null;8.3;3.2625;
2017-03-25;0;1016.154167;19.975;26.2;22.558333;18.9;85.75;null;10.1;4.329167;
2017-03-26;0;1016.9375;19.054167;25.3;22.816667;20.9;79.666667;null;12.4;6.4875;
2017-03-27;0;1018.470833;19.7375;26.4;23.170833;21.6;81.166667;null;13.3;6.625;
2017-03-28;0;1021.904167;17.579167;26.6;22.583333;20.9;74.041667;null;13.3;6.941667;
2017-03-29;.2;1021.320833;18.470833;25;21.991667;19.9;80.5;null;13.7;7.620833;
2017-03-30;2.6;1018.825;17.670833;23.9;21.5375;19.9;78.916667;null;14.4;7.316667;
2017-03-31;1.6;1021.404167;16.479167;25.1;21.2875;16.1;74.333333;null;15.2;5.441667;
2017-04-01;0;1023.904167;17.470833;25.1;22.408333;20.1;74.125;null;12.3;6.7125;
2017-04-02;0;1018.658333;17.391667;24.9;21.675;19.3;76.666667;null;14.8;6.154167;
2017-04-03;0;1013.520833;19.2625;27.8;22.2125;19.4;83.791667;null;10.7;3.729167;
2017-04-04;.2;1010.45;20.55;26.6;21.908333;18.5;92.291667;null;9.4;2.920833;
2017-04-05;5.2;1007.233333;19.733333;24.8;21.741667;19.4;88.541667;null;13.3;4.129167;
2017-04-06;.6;1013.833333;14.966667;23.2;18.266667;12;82;null;13.3;3.925;
2017-04-07;0;1016.0375;16.254167;24.4;21.4;18;72.666667;null;16.2;7.404167;
2017-04-08;0;1016.133333;19.466667;24.4;22.55;21.6;82.875;null;17.8;9.75;
2017-04-09;0;1013.683333;20.8375;24.3;22.8;22.2;88.666667;null;17.5;9.283333;
2017-04-10;11.6;1006.270833;20.958333;22.8;21.8875;21.7;94.416667;null;23.2;7.195833;
2017-04-11;15.2;1009.633333;13.8125;22.2;17.520833;14;79.25;null;18.7;7.7625;
2017-04-12;0;1021.054167;11.454167;20.3;15.5125;10.7;77.458333;null;16.3;4.983333;
2017-04-13;0;1020.658333;11.670833;19.6;15.791667;11.8;77.541667;null;9.7;3.3375;
2017-04-14;0;1019.495833;11.925;22.3;17.9125;11.4;68.541667;null;8.2;3.670833;
2017-04-15;0;1018.883333;16.208333;24.2;20.108333;16.7;78.541667;null;9.2;4.395833;
2017-04-16;0;1019.691667;16.125;21.2;19.820833;19;79.416667;null;10;5.729167;
2017-04-17;.8;1020.766667;16.033333;19.7;18.029167;17.1;88.416667;null;14.8;7.854167;
2017-04-18;7.6;1021.445833;14.625;23;19.704167;16.3;72.541667;null;10.7;5.579167;
2017-04-19;0;1016.429167;16.529167;21.6;19.841667;17.7;81.208333;null;13.3;5.708333;
2017-04-20;2.8;1007.8125;18.533333;22.4;20.129167;18.4;90.625;null;12.2;3.945833;
2017-04-21;3.2;1007.408333;16.2125;22.1;18.1;14.4;89.333333;null;9;3.791667;
2017-04-22;0;1015.85;11.283333;19.7;14.825;10.6;80.666667;null;8.2;3.3875;
2017-04-23;0;1019.366667;8.220833;22.6;14.470833;6.7;70.083333;null;6.3;2.6625;
2017-04-24;0;1016.025;13.058333;21.6;16.8;11.7;79.041667;null;12;4.366667;
2017-04-25;0;1006.370833;17.883333;22;19.191667;16.5;92.291667;null;9.8;3.654167;
2017-04-26;2.4;998.5375;11.758333;20;15.7;12.9;78.333333;null;21;7.633333;
2017-04-27;0;1011.470833;6.375;19.9;13.283333;8.2;64.583333;null;15.8;6.195833;
2017-04-28;0;1016.85;8.383333;24.5;15.970833;9.5;62.458333;null;13.4;5.520833;
2017-04-29;0;1019.841667;11.95;24.7;16.954167;10.4;73.416667;null;10.6;3.783333;
2017-04-30;0;1020.895833;11.741667;25.3;17.15;10.2;72.833333;null;8.5;3.1;
2017-05-01;0;1020.5;12.041667;24.2;15.929167;9.1;79.291667;null;6.5;1.770833;
2017-05-02;.2;1018.333333;15.704167;22.9;17.220833;12.2;90.958333;null;9.2;3.395833;
2017-05-03;0;1017.616667;17.408333;20.6;18.1625;14.7;95.5;null;7.8;2.641667;
2017-05-04;.2;1016.466667;17.195833;20.2;17.841667;16.7;96;null;5.6;2.4;
2017-05-05;0;1016.5125;17.320833;22.5;18.6;17.2;92.541667;null;6.3;1.9375;
2017-05-06;.4;1018.570833;16.925;22.8;17.825;12.9;94.625;null;9.9;3.1625;
2017-05-07;0;1015.208333;17.975;24.9;19.654167;17.3;90.25;null;13.7;4.583333;
2017-05-08;0;1008.708333;18.408333;22.2;19.925;18.7;91.166667;null;10.4;3.779167;
2017-05-09;1.6;1014.675;13.508333;18.9;16.783333;14.2;81.5;null;14.4;7.583333;
2017-05-10;0;1021.595833;8.629167;17.4;12.091667;7.9;80.5;null;13.6;5.329167;
2017-05-11;0;1020.895833;11.716667;20.5;14.645833;8.5;83.166667;null;11.1;3.929167;
2017-05-12;0;1015.279167;15.104167;19.2;17.908333;14.4;84.041667;null;13.6;6.679167;
2017-05-13;7;1007.3;16.8125;20;17.966667;16.6;93;null;14.5;3.033333;
2017-05-14;.6;1009.383333;15.991667;19.3;17.554167;16.2;90.791667;null;13.9;7.016667;
2017-05-15;0;1015.779167;14.108333;20.4;16.629167;14.8;85.708333;null;9.6;4.441667;
2017-05-16;.2;1018.054167;11.729167;18.7;13.725;9.1;88.25;null;6.2;3.729167;
2017-05-17;0;1017.883333;12.4125;20.1;14.408333;7.2;88.416667;null;5.6;3.016667;
2017-05-18;0;1015.183333;17.129167;20.2;18.5;12.5;91.791667;null;19.4;7.533333;
2017-05-19;4.4;1009.191667;16.829167;19.3;18.391667;17.1;90.625;null;23;9.666667;
2017-05-20;8.4;1010.370833;14.320833;19.1;15.945833;13.1;90.375;null;15.4;3.891667;
2017-05-21;21.4;1011.654167;10.983333;19.2;13.591667;9;85.125;null;9.8;3.4;
2017-05-22;0;1017.05;11.05;19.3;14.483333;9.2;80.416667;null;8.6;3.125;
2017-05-23;0;1018.625;16.120833;19.6;17.466667;12.9;91.833333;null;9.9;3.758333;
2017-05-24;.2;1013.316667;16.204167;21.9;17.479167;13.2;92.625;null;7.5;2.4625;
2017-05-25;13.2;1007.958333;18.608333;20.3;19.25;16.4;96.166667;null;15.6;3.5125;
2017-05-26;28;1013.475;14.445833;19.5;17.075;16.7;85.291667;null;13.9;5.795833;
2017-05-27;0;1024.895833;9.470833;16.5;14.5875;9.9;71.916667;null;14.4;7.116667;
2017-05-28;0;1022.804167;12.720833;16.7;15.470833;15.2;84.416667;null;13;7.366667;
2017-05-29;41;1018.675;14.445833;17.2;15.875;14.2;91.291667;null;16.4;8.3;
2017-05-30;.2;1022.3125;10.825;16.9;13.870833;8.7;82.416667;null;12.8;5.408333;
2017-05-31;0;1020.608333;10.266667;18.6;13.695833;8.3;80.458333;null;12.3;4.316667;
2017-06-01;0;1016.970833;12.425;18.2;16.025;14.1;79.5;null;10.7;5.179167;
2017-06-02;.2;1018.2375;9.254167;16.3;11.6375;7.5;86.541667;null;8.9;3.020833;
2017-06-03;0;1015.925;10.0875;18;12.141667;7.3;87.708333;null;11.1;3.1375;
2017-06-04;0;1013.616667;12.666667;16.6;14.279167;10.5;90.208333;null;7.3;3.15;
2017-06-05;.2;1016.820833;8.4375;15.3;11.366667;5.3;83.625;null;11;4.545833;
2017-06-06;0;1017.225;6.070833;14.2;8.908333;4.3;83.125;null;8.1;3.225;
2017-06-07;.2;1013.979167;8.704167;16.3;10.070833;4;91.458333;null;6;2.666667;
2017-06-08;7.2;1004.104167;12.979167;15.9;14.175;7.4;92.666667;null;27.1;6.645833;
2017-06-09;12.4;1011.179167;8.65;14.6;11.3625;9.7;84.333333;null;12.8;4.716667;
2017-06-10;0;1009.4875;7.0125;19.5;12.425;8.3;71;null;15.2;6.066667;
2017-06-11;0;1013.1625;8.733333;19;12.658333;8.5;77.958333;null;9.4;4.183333;
2017-06-12;0;1018.004167;6.379167;16.2;9.954167;3.7;79.583333;null;11.3;2.791667;
2017-06-13;0;1018.391667;10.0625;18.1;11.645833;6.8;90.333333;null;6.7;2.704167;
2017-06-14;.2;1022.883333;12.020833;17.8;13.008333;8;94;null;6.5;2.35;
2017-06-15;.2;1018.770833;14.6875;20.9;16.795833;13.7;87.75;null;13.2;4.670833;
2017-06-16;0;1010.7875;15.895833;23.1;19.6375;15.5;79.375;null;13.7;4.545833;
2017-06-17;0;1004.195833;16.083333;24;20.733333;17.2;75;null;15.9;4.983333;
2017-06-18;.2;1009.045833;7.666667;22;13.254167;10.7;69.416667;null;15.5;5.870833;
2017-06-19;0;1020.283333;4.754167;12.8;8.425;5.1;78.458333;null;12.7;5.316667;
2017-06-20;0;1026.075;2.670833;13.3;6.675;1.1;76.333333;null;7.2;3.183333;
2017-06-21;0;1023.425;7.983333;17.6;10.6875;2.9;84.208333;null;12;3.583333;
2017-06-22;0;1016.4625;13.2625;22.4;15.820833;10.4;85.333333;null;8.9;3.808333;
2017-06-23;0;1015.9875;15.025;24.4;19.2625;14.3;76.958333;null;11.4;4.016667;
2017-06-24;0;1017.8375;15.920833;24.5;19.695833;16.4;79.458333;null;9.1;3.329167;
2017-06-25;0;1018.85;16.170833;26;19.879167;14.6;80.166667;null;8.6;2.966667;
2017-06-26;0;1016.570833;14.679167;24.3;18.454167;13.8;79.416667;null;9.2;3.233333;
2017-06-27;0;1012.804167;14.166667;23.2;18.8875;14.8;74.541667;null;12.5;4.566667;
2017-06-28;9.8;1017.316667;13.354167;20.2;15.133333;13.1;89.125;null;10.3;4.525;
2017-06-29;.2;1018.408333;11.258333;13.9;12.920833;12.2;89.666667;null;6.4;2.766667;
2017-06-30;11.8;1018.7;9.958333;17;11.195833;7.6;92.458333;null;8.9;3.675;
2017-07-01;0;1026.483333;6.595833;13;9.179167;4.8;84.958333;null;12;4.679167;
2017-07-02;0;1031.133333;6.6;16.3;9.520833;3.2;83.125;null;6.1;2.2625;
2017-07-03;0;1029.833333;10.125;18.7;13.883333;7.3;79.416667;null;15.9;4.616667;
2017-07-04;0;1026.35;12.683333;19.9;15.204167;12.8;85.291667;null;16.7;5.379167;
2017-07-05;0;1022.554167;13.095833;20.8;16.5375;14.1;81.083333;null;12.4;4.95;
2017-07-06;0;1022.004167;13.633333;17.8;15.6875;14.2;87.708333;null;8.8;2.695833;
2017-07-07;0;1023.329167;14.708333;18.8;15.554167;14.5;94.916667;null;11.8;3.633333;
2017-07-08;.2;1020.175;14.833333;20.8;16.458333;13.8;90.791667;null;9;2.725;
2017-07-09;.2;1019.3375;14.65;18.8;15.7375;14.4;93.375;null;5.1;2.55;
2017-07-10;9.6;1019.116667;15.1625;19.3;15.6;14.3;97.416667;null;11.1;3.254167;
2017-07-11;21.6;1022.7125;12.891667;15.7;14.416667;13.2;90.583333;null;13.7;7.716667;
2017-07-12;0;1023.1125;13.645833;17.4;15.833333;14.2;86.875;null;12.5;6.291667;
2017-07-13;0;1016.691667;16.954167;24.8;19.404167;15.4;86.541667;null;12.8;4.475;
2017-07-14;0;1013.591667;15.766667;23.6;18.0125;16.3;87;null;9.7;3.008333;
2017-07-15;0;1005.204167;15.8125;23.4;18.754167;14.1;84.208333;null;15.8;4.2125;
2017-07-16;11;1013.1;9.0125;23.1;10.516667;9.7;90.5;null;12.8;5.0125;
2017-07-17;1.6;1023.366667;2.95;11;6.345833;3.7;80.25;null;15.6;5.858333;
2017-07-18;0;1026.245833;.345833;13;5.783333;.2;69.416667;null;9.6;4.4625;
2017-07-19;0;1023.441667;.866667;14.5;8.379167;2.6;60.166667;null;12;4.375;
2017-07-20;0;1017.470833;4.316667;17.6;11.1;5.4;63.708333;null;12;4.966667;
2017-07-21;0;1018.683333;6.858333;13.9;10.879167;7.3;76.583333;null;11;5.116667;
2017-07-22;0;1020.679167;8.058333;16.3;10.454167;3.3;86.083333;null;9.6;3.558333;
2017-07-23;0;1015.183333;12.104167;22.8;15.054167;7.7;84.041667;null;9.5;3.570833;
2017-07-24;0;1015.125;13.295833;19.3;15.9125;10.6;85.291667;null;13.1;4.7375;
2017-07-25;5;1023.325;13.391667;15.5;14;13.3;96;null;12;6.266667;
2017-07-26;15.2;1022.0125;15.425;18.9;15.75;13.8;97.833333;null;13.2;4.995833;
2017-07-27;5.4;1021.233333;14.945833;21.2;15.2875;13.5;97.958333;null;7.9;3.208333;
2017-07-28;0;1019.091667;15.416667;22.5;16.591667;13.8;93.25;null;8.3;3.3875;
2017-07-29;0;1019.133333;15.145833;24.6;19.729167;15.2;75.583333;null;9.7;3.6375;
2017-07-30;0;1020.2125;14.779167;21.2;16.983333;15.4;87.416667;null;12.8;4.679167;
2017-07-31;1.6;1018.8875;14.5125;15.2;14.7875;14.4;98.125;null;13.3;5.466667;
2017-08-01;22.6;1014.795833;14.870833;16.7;15.054167;14.6;98.833333;null;17.9;3.754167;
2017-08-02;16.4;1018.633333;11.3875;14.7;14.066667;13.3;84;null;14.6;8.375;
2017-08-03;0;1021.116667;9.245833;14.5;13.341667;12.7;76.416667;null;11.6;6.8625;
2017-08-04;0;1025.208333;8.15;15.7;10.541667;6.6;85.958333;null;5.3;2.2875;
2017-08-05;.2;1024.4625;9.729167;17.6;11.7625;7.5;88;null;11.3;4.108333;
2017-08-06;0;1019.720833;12.258333;21.3;15.270833;11;82.875;null;12.9;3.341667;
2017-08-07;0;1014.658333;12.2;18.5;13.779167;10.9;90.375;null;7.8;2.4;
2017-08-08;8.2;1007.708333;12.95;16.8;13.966667;12;93.75;null;13;3.416667;
2017-08-09;0;1015.679167;13.029167;16.2;14.708333;13;89.791667;null;12.3;6.5125;
2017-08-10;0;1020.679167;13.395833;18.1;15.4125;13.7;87.791667;null;18.8;8.195833;
2017-08-11;.6;1015.516667;14.1;16.8;15.770833;15.5;90;null;24.3;10.895833;
2017-08-12;58.6;1007.875;15.929167;18.2;16.666667;14.7;95.375;null;23.3;8.45;
2017-08-13;20.6;1009.466667;13.529167;17.7;14.791667;14.1;92.333333;null;15.1;8.2625;
2017-08-14;.4;1012.970833;8.583333;18.4;12.629167;6.9;77.75;null;15;4.870833;
2017-08-15;0;1018.204167;9.658333;19.6;13.858333;8.6;77.333333;null;9.1;3.045833;
2017-08-16;0;1019.308333;9.008333;15.8;13.141667;10.6;76.625;null;11.5;5.216667;
2017-08-17;0;1017.866667;7.8;17.7;11.5125;6.3;79.208333;null;9.5;3;
2017-08-18;0;1012.575;10.075;21.3;14.5375;8.8;75.666667;null;8.7;3.141667;
2017-08-19;0;1008.1625;12.75;20;14.791667;13.6;88.041667;null;20.7;6.108333;
2017-08-20;4;1019.158333;5.8375;14.7;11.2875;7.6;71.708333;null;15.7;6.5875;
2017-08-21;0;1028.1;2.283333;15.4;10.170833;3.4;60.041667;null;12.1;3.225;
2017-08-22;0;1022.625;7.266667;19.1;12.658333;7.4;71.083333;null;17.9;5.7375;
2017-08-23;0;1015.533333;13.841667;22.9;16.704167;13.6;84;null;12.2;4.8875;
2017-08-24;0;1012.175;15.9;19.2;16.7375;15.5;94.875;null;10.9;3.7625;
2017-08-25;5.2;1011.1625;16.754167;20.4;17.904167;16.2;93.041667;null;12.3;3.808333;
2017-08-26;1.2;1012.725;16.420833;22.6;18.158333;15.8;89.666667;null;22.9;3.595833;
2017-08-27;.4;1015.116667;14.5625;16.5;14.908333;13.7;97.833333;null;8.3;3.679167;
2017-08-28;0;1015.054167;15.995833;17.5;16.220833;14.2;98.416667;null;8.3;3.545833;
2017-08-29;13.8;1009.3;16.833333;18.2;16.975;15.9;99.208333;null;12.3;3.866667;
2017-08-30;14.4;1013.783333;11.029167;19.3;13.695833;10.2;84.166667;null;18.7;7.916667;
2017-08-31;0;1024.5;10.179167;17.9;12.333333;7.2;87.083333;null;10.1;3.654167;
2017-09-01;1.6;1020.245833;13.266667;18.8;16.391667;13.5;81.833333;null;19.3;7.433333;
2017-09-02;.2;1015.795833;16.466667;26.3;18.766667;16.3;86.708333;null;15.5;5.695833;
2017-09-03;0;1011.508333;18.233333;30.2;22.466667;16.5;78.666667;null;12.3;3.658333;
2017-09-04;9.4;1011.008333;17.395833;25.3;19.504167;18.5;88.583333;null;13.5;5.125;
2017-09-05;14.4;1020.3125;12.933333;15.9;14.4875;13.7;90.583333;null;14.4;8.479167;
2017-09-06;.6;1021.254167;12.804167;19.1;15.791667;13.5;82.625;null;12.8;6.129167;
2017-09-07;3.2;1015.5125;15.8;17.4;16.445833;15.9;96.041667;null;10;3.395833;
2017-09-08;18.4;1013.129167;15.866667;17.2;15.945833;15.3;99.5;null;8;3.304167;
2017-09-09;2.4;1015.104167;16.4375;17.9;16.541667;15.2;99.5;null;10.1;3.8125;
2017-09-10;1.2;1008.633333;16.975;18.2;17.1875;16.3;98.625;null;15.7;6.091667;
2017-09-11;27.8;1007.858333;12.733333;20.8;15.308333;13.1;85.083333;null;23.8;8.241667;
2017-09-12;1.4;1022.216667;10.291667;16.4;13.183333;9.3;83.25;null;10;2.820833;
2017-09-13;.4;1018.1125;12.991667;15.5;14.395833;13;91.541667;null;11.7;5.620833;
2017-09-14;69.8;1010.7625;14.6625;17;15.175;14.3;96.958333;null;9.8;2.4125;
2017-09-15;1.2;1024.1125;11.6625;16.4;14.716667;12.5;82.083333;null;13.5;7.916667;
2017-09-16;0;1027.4125;13.283333;17.8;15.8;14.5;84.958333;null;11.3;7.166667;
2017-09-17;0;1025.291667;12.491667;17.6;15.775;14.7;81.125;null;9.7;6.191667;
2017-09-18;0;1022.516667;12.545833;17.3;15.454167;13.9;82.958333;null;7.3;4.666667;
2017-09-19;0;1020.2125;15.3375;20;16.7875;14.5;91.291667;null;11;3.216667;
2017-09-20;0;1015.545833;17.295833;23;18.929167;16.4;90.458333;null;11.2;4.945833;
2017-09-21;0;1015.641667;16.2;21.7;17.1875;15.9;93.791667;null;15.2;8.366667;
2017-09-22;1.4;1015.245833;14.579167;16.8;15.445833;14;94.541667;null;17.1;9.2;
2017-09-23;.4;1020.9125;12.283333;18;15.0875;13.1;84.166667;null;9.6;4.120833;
2017-09-24;0;1022.554167;11.45;19.8;15.454167;9.4;77.416667;null;11.2;4.458333;
